onset,duration,description
1970-01-01 00:00:00.000,52.28,1
1970-01-01 00:00:52.280,15.0,0
1970-01-01 00:01:07.280,54.5,1
1970-01-01 00:02:01.780,15.0,0
1970-01-01 00:02:16.780,31.36,1
1970-01-01 00:02:48.140,15.0,0
1970-01-01 00:03:03.140,27.36,1
1970-01-01 00:03:30.500,15.0,0
1970-01-01 00:03:45.500,24.44,1
1970-01-01 00:04:09.940,15.0,0
1970-01-01 00:04:24.940,32.38,1
1970-01-01 00:04:57.320,15.0,0
1970-01-01 00:05:12.320,17.23,1
1970-01-01 00:05:29.550,15.0,0
1970-01-01 00:05:44.550,61.49,1
1970-01-01 00:06:46.040,15.0,0
1970-01-01 00:07:01.040,29.58,1
1970-01-01 00:07:30.620,15.0,0
1970-01-01 00:07:45.620,17.39,1
1970-01-01 00:08:03.010,15.0,0
1970-01-01 00:08:18.010,55.48,1
1970-01-01 00:09:13.490,15.0,0
1970-01-01 00:09:28.490,30.494,1
